County,Pop,Pop_65,Pop_AA,Pop_H,Smoking,Obesity,Diabetes,HIV,uninsured,Med_HHI,Unemployment,PCP_num,Alcohol_usage,Smoker_num,Obesity_num,Diabetes_num,uninsured_num,Pop_65_num,Pop_AA_num,Pop_H_num,Year,psed,Access_healthy_foods_%,Limited_healthy_food
Alamance,150358,14.1,18.8,11.5,23,31,10,236,22,43769,12,95,9,34582.34,46610.98,15035.8,33078.76,21200.478,28267.304,17291.17,2011,21966,71,43002.388
Alexander,36777,14.2,6.2,3.5,22,29,10,89,21,44460,14.3,9,13,8090.94,10665.33,3677.7,7723.17,5222.334,2280.174,1287.195,2011,4239,67,12246.741
Alleghany,10964,20.1,1.7,10.2,29,27,10,,25,33824,11.4,10,12,3179.56,2960.28,1096.4,2741,2203.764,186.388,1118.328,2011,1039,17,9133.012
Anson,25056,14.7,48.2,1.6,20,33,12,376,16,34012,14.8,11,5,5011.2,8268.48,3006.72,4008.96,3683.232,12076.992,400.896,2011,2113,40,15033.6
Ashe,25812,19.7,1,3.9,23,24,9,41,25,35689,11.4,16,7,5936.76,6194.88,2323.08,6453,5084.964,258.12,1006.668,2011,2583,27,18765.324
Avery,17932,17.6,5.3,4.1,24,28,10,77,30,36844,8.8,6,4,4303.68,5020.96,1793.2,5379.6,3156.032,950.396,735.212,2011,2667,100,0
Beaufort,46414,18.6,26.7,4.8,23,34,12,257,19,38641,10.9,33,7,10675.22,15780.76,5569.68,8818.66,8633.004,12392.538,2227.872,2011,5041,56,20607.816
Bertie,19345,16.5,62.9,1.5,17,36,14,401,18,31375,10.5,6,,3288.65,6964.2,2708.3,3482.1,3191.925,12168.005,290.175,2011,1622,43,11045.995
Bladen,32343,14.9,35.6,6.6,23,33,12,245,15,29043,11.7,13,7,7438.89,10673.19,3881.16,4851.45,4819.107,11514.108,2134.638,2011,3977,43,18467.853
Brunswick,107062,20.6,11.7,3.9,24,28,10,153,22,46686,11,48,12,25694.88,29977.36,10706.2,23553.64,22054.772,12526.254,4175.418,2011,11276,75,26765.5
Buncombe,231452,15.9,7.1,4.6,23,22,9,224,21,43805,8.6,340,11,53233.96,50919.44,20830.68,48604.92,36800.868,16433.092,10646.792,2011,39501,93,15507.284
Burke,89548,15.6,6.5,5.6,29,27,11,84,19,37225,14.5,64,9,25968.92,24177.96,9850.28,17014.12,13969.488,5820.62,5014.688,2011,10443,75,22387
Cabarrus,172223,10.7,15.2,9.2,22,30,10,137,21,56747,11.2,167,11,37889.06,51666.9,17222.3,36166.83,18427.861,26177.896,15844.516,2011,29742,86,24627.889
Caldwell,79914,15.6,5.4,4.4,26,31,10,72,16,40966,15.4,42,7,20777.64,24773.34,7991.4,12786.24,12466.584,4315.356,3516.216,2011,9954,100,0
Camden,9730,12.2,16,2.1,19,32,10,152,26,56424,8,2,,1848.7,3113.6,973,2529.8,1187.06,1556.8,204.33,2011,1401,33,6489.91
Carteret,64423,18.9,7.5,2.5,26,29,11,85,22,49443,8.2,55,15,16749.98,18682.67,7086.53,14173.06,12175.947,4831.725,1610.575,2011,8862,43,36785.533
Caswell,23004,15.9,33.6,2.7,35,30,13,150,19,39693,12.6,3,10,8051.4,6901.2,2990.52,4370.76,3657.636,7729.344,621.108,2011,2561,43,13135.284
Catawba,159125,14.1,8.5,9.4,21,27,9,124,20,43737,14.4,118,11,33416.25,42963.75,14321.25,31825,22436.625,13525.625,14957.75,2011,22771,67,52988.625
Chatham,64772,14.5,12.9,12.7,22,26,9,122,27,57677,8.1,26,12,14249.84,16840.72,5829.48,17488.44,9391.94,8355.588,8226.044,2011,10289,83,10816.924
Cherokee,26307,22.5,1.9,1.6,25,25,12,57,23,33645,14.6,19,10,6576.75,6576.75,3156.84,6050.61,5919.075,499.833,420.912,2011,3114,75,6576.75
Chowan,14784,18.8,36,2.3,28,30,12,196,19,38330,11.1,14,9,4139.52,4435.2,1774.08,2808.96,2779.392,5322.24,340.032,2011,1545,50,7392
Clay,10333,23.4,1.3,1.6,24,25,10,56,25,38049,11.2,5,2,2479.92,2583.25,1033.3,2583.25,2417.922,134.329,165.328,2011,1198,67,3440.889
Cleveland,99274,15.2,20.7,2.4,24,32,12,211,16,39049,14.6,61,10,23825.76,31767.68,11912.88,15883.84,15089.648,20549.718,2382.576,2011,12627,71,28392.364
Columbus,54221,15.4,30.4,3.5,27,33,12,373,15,33329,12.4,26,7,14639.67,17892.93,6506.52,8133.15,8350.034,16483.184,1897.735,2011,6452,46,29170.898
Craven,98529,16,23.7,3.9,20,30,11,324,22,45747,9.8,87,9,19705.8,29558.7,10838.19,21676.38,15764.64,23351.373,3842.631,2011,13622,63,36948.375
Cumberland,315207,9.5,37.5,6.3,26,33,12,439,19,44658,9.2,270,11,81953.82,104018.31,37824.84,59889.33,29944.665,118202.625,19858.041,2011,55786,73,84160.269
Currituck,24216,12.2,7.5,2.4,34,29,9,115,26,55745,7,4,22,8233.44,7022.64,2179.44,6296.16,2954.352,1816.2,581.184,2011,3536,33,16152.072
Dare,34296,15.1,3.4,3.8,34,25,9,137,27,55122,9.6,20,27,11660.64,8574,3086.64,9259.92,5178.696,1166.064,1303.248,2011,5274,57,14712.984
Davidson,158582,13.8,9.4,6.3,25,30,11,143,19,44136,12.6,63,9,39645.5,47574.6,17444.02,30130.58,21884.316,14906.708,9990.666,2011,20235,80,31716.4
Davie,41420,15.4,7,6.8,28,28,9,83,24,52408,11.4,18,10,11597.6,11597.6,3727.8,9940.8,6378.68,2899.4,2816.56,2011,5844,100,0
Duplin,53177,13.2,25.6,22,19,32,11,343,27,36682,9.1,15,7,10103.63,17016.64,5849.47,14357.79,7019.364,13613.312,11698.94,2011,5298,70,15953.1
Durham,269706,9.4,37.2,12.2,16,29,9,627,21,51292,7.9,656,13,43152.96,78214.74,24273.54,56638.26,25352.364,100330.632,32904.132,2011,60712,70,80911.8
Edgecombe,51853,11.5,56.6,4.6,28,37,13,591,14,33346,16.1,15,8,14518.84,19185.61,6740.89,7259.42,5963.095,29348.798,2385.238,2011,5711,80,10370.6
Forsyth,359638,13.1,25.9,10.9,22,25,8,413,20,47318,9.7,569,11,79120.36,89909.5,28771.04,71927.6,47112.578,93146.242,39200.542,2011,58877,88,44954.75
Franklin,60088,11.3,26.4,7.6,26,31,9,198,21,46189,10.4,9,16,15622.88,18627.28,5407.92,12618.48,6789.944,15863.232,4566.688,2011,7749,100,0
Gaston,208958,13.2,15.2,6.1,28,27,10,267,17,46265,14,140,11,58508.24,56418.66,20895.8,35522.86,27582.456,31761.616,12746.438,2011,30300,77,48269.298
Gates,11768,14.1,35.1,1.2,15,34,12,101,25,44737,7.4,1,9,1765.2,4001.12,1412.16,2942,1659.288,4130.568,141.216,2011,1490,33,7849.256
Graham,8001,20.7,0.6,1.4,,29,11,,24,32835,16.1,2,10,0,2320.29,880.11,1920.24,1656.207,48.006,112.014,2011,761,50,4000.5
Granville,57639,11.4,33.1,7.1,27,33,11,350,20,48468,10.3,27,9,15562.53,19020.87,6340.29,11527.8,6570.846,19078.509,4092.369,2011,8170,60,23055.6
Greene,20658,12,40.1,13.4,11,32,11,339,30,38530,10.6,3,4,2272.38,6610.56,2272.38,6197.4,2478.96,8283.858,2768.172,2011,2817,33,13778.886
Guilford,480362,12.4,31.8,6.5,20,28,10,431,21,47836,11,467,12,96072.4,134501.36,48036.2,100876.02,59564.888,152755.116,31223.53,2011,84949,73,129217.378
Halifax,54582,16.2,53.7,1.4,22,37,15,313,14,31495,13.1,35,6,12008.04,20195.34,8187.3,7641.48,8842.284,29310.534,764.148,2011,5842,88,6822.75
Harnett,115761,9.4,22.1,9.1,27,32,9,178,25,43626,11.1,33,11,31255.47,37043.52,10418.49,28940.25,10881.534,25583.181,10534.251,2011,19383,86,16553.823
Haywood,57109,20.7,1.6,2.2,26,29,11,101,19,39042,9.8,43,8,14848.34,16561.61,6281.99,10850.71,11821.563,913.744,1256.398,2011,7707,67,19017.297
Henderson,103669,22.4,3.4,9.2,20,25,10,85,24,46047,9.1,96,9,20733.8,25917.25,10366.9,24880.56,23221.856,3524.746,9537.548,2011,13296,64,37735.516
Hertford,23283,15.6,61.3,2.1,24,34,13,847,16,34131,9.3,19,6,5587.92,7916.22,3026.79,3725.28,3632.148,14272.479,488.943,2011,2685,33,15529.761
Hoke,45148,7.5,33.4,11.8,25,32,11,302,22,40351,8.4,5,12,11287,14447.36,4966.28,9932.56,3386.1,15079.432,5327.464,2011,7999,100,0
Hyde,5211,15.6,36.1,3.1,,31,12,196,20,34868,8.3,0,,0,1615.41,625.32,1042.2,812.916,1881.171,161.541,2011,771,50,2605.5
Iredell,158153,12.9,12.4,6.1,23,27,9,94,22,50971,12.2,117,12,36375.19,42701.31,14233.77,34793.66,20401.737,19610.972,9647.333,2011,24445,63,59307.375
Jackson,36891,15,2.5,2.8,26,30,11,64,24,41506,8.5,41,14,9591.66,11067.3,4058.01,8853.84,5533.65,922.275,1032.948,2011,4523,67,12284.703
Johnston,168525,9.4,15.6,11.7,25,33,9,231,24,52443,10.1,60,12,42131.25,55613.25,15167.25,40446,15841.35,26289.9,19717.425,2011,28332,78,37412.55
