County,Pop,Pop_65,Pop_AA,Pop_H,Smoking,Obesity,Diabetes,HIV,uninsured,Med_HHI,Unemployment,PCP_num,Pop_65_num,Pop_AA_num,Pop_H_num,Smoker_num,Obesity_num,Diabetes_num,uninsured_num,Year,psed,Access_healthy_foods_%,Limited_healthy_food
Alamance,150358,14.1,18.8,11.5,24,34,11,238,23,41519,7971,95,21200.478,28267.304,17291.17,36085.92,50369.93,16539.38,34582.34,2012,21221,71,43002.388
Alexander,36777,14.2,6.2,3.5,26,28,10,94,25,40441,2299,9,5222.334,2280.174,1287.195,9562.02,10444.668,3677.7,9194.25,2012,4080,67,12246.741
Alleghany,10964,20.1,1.7,10.2,27,25,11,,27,32210,536,10,2203.764,186.388,1118.328,2960.28,2741,1206.04,2960.28,2012,1132,50,5482
Anson,25056,14.7,48.2,1.6,17,36,14,388,25,32268,1419,11,3683.232,12076.992,400.896,4259.52,8894.88,3507.84,6264,2012,2574,40,15033.6
Ashe,25812,19.7,1,3.9,25,23,9,45,25,31965,1529,16,5084.964,258.12,1006.668,6453,5936.76,2323.08,6453,2012,2554,27,18765.324
Avery,17932,17.6,5.3,4.1,24,30,10,70,30,35568,853,6,3156.032,950.396,735.212,4303.68,5325.804,1793.2,5379.6,2012,2636,100,0
Beaufort,46414,18.6,26.7,4.8,21,36,13,271,24,38194,2340,33,8633.004,12392.538,2227.872,9746.94,16569.798,6033.82,11139.36,2012,5292,56,20607.816
Bertie,19345,16.5,62.9,1.5,15,38,15,420,24,30586,1011,6,3191.925,12168.005,290.175,2901.75,7254.375,2901.75,4642.8,2012,1814,43,11045.995
Bladen,32343,14.9,35.6,6.6,22,37,14,280,22,31637,1893,13,4819.107,11514.108,2134.638,7115.46,12031.596,4528.02,7115.46,2012,4123,43,18467.853
Brunswick,107062,20.6,11.7,3.9,24,30,11,134,22,44186,5631,48,22054.772,12526.254,4175.418,25694.88,31583.29,11776.82,23553.64,2012,12256,75,26765.5
Buncombe,231452,15.9,7.1,4.6,22,24,9,230,22,42846,10186,340,36800.868,16433.092,10646.792,50919.44,55085.576,20830.68,50919.44,2012,40644,93,15507.284
Burke,89548,15.6,6.5,5.6,27,28,12,98,26,38541,5213,64,13969.488,5820.62,5014.688,24177.96,25431.632,10745.76,23282.48,2012,10844,75,22387
Cabarrus,172223,10.7,15.2,9.2,20,31,10,152,20,49355,9474,167,18427.861,26177.896,15844.516,34444.6,53389.13,17222.3,34444.6,2012,31736,86,24627.889
Caldwell,79914,15.6,5.4,4.4,27,30,11,73,25,36860,5354,42,12466.584,4315.356,3516.216,21576.78,24213.942,8790.54,19978.5,2012,9825,100,0
Camden,9730,12.2,16,2.1,19,32,11,166,19,59522,357,2,1187.06,1556.8,204.33,1848.7,3142.79,1070.3,1848.7,2012,1494,33,6489.91
Carteret,64423,18.9,7.5,2.5,24,28,10,87,21,43356,2839,55,12175.947,4831.725,1610.575,15461.52,18102.863,6442.3,13528.83,2012,9064,43,36785.533
Caswell,23004,15.9,33.6,2.7,30,31,14,177,22,37115,1261,3,3657.636,7729.344,621.108,6901.2,7131.24,3220.56,5060.88,2012,2616,29,16424.856
Catawba,159125,14.1,8.5,9.4,22,27,9,129,23,41782,9850,118,22436.625,13525.625,14957.75,35007.5,42168.125,14321.25,36598.75,2012,22589,78,35325.75
Chatham,64772,14.5,12.9,12.7,20,25,9,136,21,53958,2474,26,9391.94,8355.588,8226.044,12954.4,16063.456,5829.48,13602.12,2012,9530,83,10816.924
Cherokee,26307,22.5,1.9,1.6,24,27,13,66,24,32963,1423,19,5919.075,499.833,420.912,6313.68,7023.969,3419.91,6313.68,2012,3163,50,13153.5
Chowan,14784,18.8,36,2.3,,30,13,220,22,36176,693,14,2779.392,5322.24,340.032,0,4449.984,1921.92,3252.48,2012,1562,50,7392
Clay,10333,23.4,1.3,1.6,23,25,11,56,23,35314,506,5,2417.922,134.329,165.328,2376.59,2593.583,1136.63,2376.59,2012,1133,33,6892.111
Cleveland,99274,15.2,20.7,2.4,24,32,13,212,23,38392,6490,61,15089.648,20549.718,2382.576,23825.76,32065.502,12905.62,22833.02,2012,12624,71,28392.364
Columbus,54221,15.4,30.4,3.5,25,34,13,377,25,32518,3075,26,8350.034,16483.184,1897.735,13555.25,18326.698,7048.73,13555.25,2012,7326,46,29170.898
Craven,98529,16,23.7,3.9,20,34,12,327,21,41791,4389,87,15764.64,23351.373,3842.631,19705.8,33204.273,11823.48,20691.09,2012,15116,63,36948.375
Cumberland,315207,9.5,37.5,6.3,24,33,12,440,20,43356,12811,270,29944.665,118202.625,19858.041,75649.68,104648.724,37824.84,63041.4,2012,59709,73,84160.269
Currituck,24216,12.2,7.5,2.4,,33,10,119,21,53939,847,4,2954.352,1816.2,581.184,0,7894.416,2421.6,5085.36,2012,3396,33,16152.072
Dare,34296,15.1,3.4,3.8,,29,10,142,22,50203,2286,20,5178.696,1166.064,1303.248,0,9808.656,3429.6,7545.12,2012,5704,57,14712.984
Davidson,158582,13.8,9.4,6.3,25,29,10,154,24,40618,9460,63,21884.316,14906.708,9990.666,39645.5,46305.944,15858.2,38059.68,2012,21125,80,31716.4
Davie,41420,15.4,7,6.8,27,29,10,76,19,46957,2176,18,6378.68,2899.4,2816.56,11183.4,11804.7,4142,7869.8,2012,5728,100,0
Duplin,53177,13.2,25.6,22,19,35,12,352,31,34672,2207,15,7019.364,13613.312,11698.94,10103.63,18346.065,6381.24,16484.87,2012,5855,70,15953.1
Durham,269706,9.4,37.2,12.2,16,30,9,632,21,48023,11305,656,25352.364,100330.632,32904.132,43152.96,81720.918,24273.54,56638.26,2012,59287,70,80911.8
Edgecombe,51853,11.5,56.6,4.6,28,40,13,624,23,33146,3731,15,5963.095,29348.798,2385.238,14518.84,20844.906,6740.89,11926.19,2012,6013,60,20741.2
Forsyth,359638,13.1,25.9,10.9,21,26,10,404,21,44443,17338,569,47112.578,93146.242,39200.542,75523.98,92067.328,35963.8,75523.98,2012,56949,88,44954.75
Franklin,60088,11.3,26.4,7.6,27,35,10,195,23,45592,2818,9,6789.944,15863.232,4566.688,16223.76,20790.448,6008.8,13820.24,2012,8370,100,0
Gaston,208958,13.2,15.2,6.1,27,26,10,276,23,40332,11842,140,27582.456,31761.616,12746.438,56418.66,55164.912,20895.8,48060.34,2012,31021,85,32179.532
Gates,11768,14.1,35.1,1.2,11,35,13,123,21,43010,359,1,1659.288,4130.568,141.216,1294.48,4095.264,1529.84,2471.28,2012,1395,33,7849.256
Graham,8001,20.7,0.6,1.4,,28,13,,27,31863,612,2,1656.207,48.006,112.014,0,2216.277,1040.13,2160.27,2012,903,50,4000.5
Granville,57639,11.4,33.1,7.1,26,32,11,362,23,45828,2677,27,6570.846,19078.509,4092.369,14986.14,18502.119,6340.29,13256.97,2012,8442,60,23055.6
Greene,20658,12,40.1,13.4,11,34,12,334,29,38428,938,3,2478.96,8283.858,2768.172,2272.38,6920.43,2478.96,5990.82,2012,2713,33,13778.886
Guilford,480362,12.4,31.8,6.5,18,28,10,446,23,42415,26866,467,59564.888,152755.116,31223.53,86465.16,135462.084,48036.2,110483.26,2012,85117,69,147951.496
Halifax,54582,16.2,53.7,1.4,22,39,15,320,23,30861,3114,35,8842.284,29310.534,764.148,12008.04,21014.07,8187.3,12553.86,2012,5994,88,6822.75
Harnett,115761,9.4,22.1,9.1,28,32,9,174,23,40956,5338,33,10881.534,25583.181,10534.251,32413.08,36927.759,10418.49,26625.03,2012,18343,86,16553.823
Haywood,57109,20.7,1.6,2.2,24,28,11,90,23,39987,2677,43,11821.563,913.744,1256.398,13706.16,16047.629,6281.99,13135.07,2012,7780,67,19017.297
Henderson,103669,22.4,3.4,9.2,20,24,10,81,24,43589,4140,96,23221.856,3524.746,9537.548,20733.8,24465.884,10366.9,24880.56,2012,14305,64,37735.516
Hertford,23283,15.6,61.3,2.1,24,35,14,724,24,32410,969,19,3632.148,14272.479,488.943,5587.92,8242.182,3259.62,5587.92,2012,2842,33,15529.761
Hoke,45148,7.5,33.4,11.8,23,34,11,309,27,43679,1850,5,3386.1,15079.432,5327.464,10384.04,15169.728,4966.28,12189.96,2012,8404,100,0
Hyde,5211,15.6,36.1,3.1,,32,13,196,29,35206,243,,812.916,1881.171,161.541,0,1677.942,677.43,1511.19,2012,786,50,2605.5
Iredell,158153,12.9,12.4,6.1,22,28,9,94,21,46576,9667,117,20401.737,19610.972,9647.333,34793.66,44915.452,14233.77,33212.13,2012,25813,63,59307.375
Jackson,36891,15,2.5,2.8,26,33,12,76,26,36741,1834,41,5533.65,922.275,1032.948,9591.66,12210.921,4426.92,9591.66,2012,4847,67,12284.703
Johnston,168525,9.4,15.6,11.7,24,34,10,217,24,46922,7598,60,15841.35,26289.9,19717.425,40446,57972.6,16852.5,40446,2012,28886,78,37412.55
Jones,10071,17.2,32.4,4.5,31,35,15,187,25,38578,499,6,1732.212,3263.004,453.195,3122.01,3494.637,1510.65,2517.75,2012,1115,67,3353.643
Lee,60477,14.8,19.8,17,22,30,12,306,25,41999,3357,38,8950.596,11974.446,10281.09,13304.94,18143.1,7257.24,15119.25,2012,7262,100,0
Lenoir,56387,16.5,40.8,5.3,22,32,14,552,24,36455,3001,38,9303.855,23005.896,2988.511,12405.14,18269.388,7894.18,13532.88,2012,7113,80,11277.4
Lincoln,76043,12.5,6.5,8.6,20,28,11,73,24,45332,4851,41,9505.375,4942.795,6539.698,15208.6,20911.825,8364.73,18250.32,2012,10765,60,30417.2
McDowell,43988,16.2,4,4.9,23,33,12,73,24,34383,2639,16,7126.056,1759.52,2155.412,10117.24,14691.992,5278.56,10557.12,2012,5774,67,14648.004
