County,Pop,Pop_65_%,Pop_AA_%,Pop_H_%,Smoking_%,Obesity_%,Diabetes_%,HIV,uninsured_%,Med_HHI,Unemployment,PCP_num,Alcohol_Abuse_%,Pop_65_num,Pop_AA_num,Pop_H_num,Smoker_num,Obesity_num,Diabetes_num,uninsured_num,Year,Limited_healthy_food,psed,
Alamance,153291,14.8,18.7,11.4,23,34,11,241,27,41371,10.7,82,11,22687.068,28665.417,17475.174,35256.93,52118.94,16862.01,41388.57,2013,17081,21385,
Alexander,37087,15.8,5.6,4.4,26,28,10,96,25,39812,11.4,7,13,5859.746,2076.872,1631.828,9642.62,10384.36,3708.7,9271.75,2013,844,4107,
Alleghany,11052,21.4,1.4,9.2,28,25,11,,35,32673,12.4,12,17,2365.128,154.728,1016.784,3094.56,2763,1215.72,3868.2,2013,152,1191,
Anson,26609,14.8,48.3,3.2,18,36,14,411,23,32341,12.2,10,8,3938.132,12852.147,851.488,4789.62,9579.24,3725.26,6120.07,2013,825,2919,
Ashe,27143,20.9,0.6,4.8,24,23,9,39,28,34333,12.2,14,10,5672.887,162.858,1302.864,6514.32,6242.89,2442.87,7600.04,2013,679,2771,
Avery,17572,17.4,4.2,4.8,23,30,10,64,30,36071,11.6,5,6,3057.528,738.024,843.456,4041.56,5271.6,1757.2,5271.6,2013,0,2477,
Beaufort,47691,19.1,25.3,7,,36,13,273,23,38248,11.5,24,,9108.981,12065.823,3338.37,0,17168.76,6199.83,10968.93,2013,2430,5538,
Bertie,20874,17.8,61.9,1.4,,38,15,414,22,29615,12.7,4,,3715.572,12921.006,292.236,0,7932.12,3131.1,4592.28,2013,1010,2072,
Bladen,34928,16.3,34.7,7.2,24,37,14,306,26,33138,13.1,11,4,5693.264,12120.016,2514.816,8382.72,12923.36,4889.92,9081.28,2013,1134,4005,
Brunswick,110097,22.5,11.4,5.1,22,30,11,135,24,42685,11.5,49,14,24771.825,12551.058,5614.947,24221.34,33029.1,12110.67,26423.28,2013,5206,13596,
Buncombe,241419,16.2,6.5,6.2,21,24,9,229,25,41551,8.2,291,13,39109.878,15692.235,14967.978,50697.99,57940.56,21727.71,60354.75,2013,20608,42881,
Burke,90904,16.4,6.8,5.5,24,28,12,104,25,37719,12.7,53,7,14908.256,6181.472,4999.72,21816.96,25453.12,10908.48,22726,2013,11106,11037,
Cabarrus,181468,11.5,15.2,9.6,20,31,10,163,23,50298,10.1,150,15,20868.82,27583.136,17420.928,36293.6,56255.08,18146.8,41737.64,2013,10315,32591,
Caldwell,82395,16,5.1,4.7,24,30,11,71,24,34876,13.2,34,9,13183.2,4202.145,3872.565,19774.8,24718.5,9063.45,19774.8,2013,13048,10420,
Camden,10014,13.2,13.5,2.6,,32,11,151,19,57113,8.5,1,,1321.848,1351.89,260.364,0,3204.48,1101.54,1902.66,2013,97,1658,
Carteret,67373,19.5,6.3,3.7,22,28,10,93,22,45507,9.4,35,21,13137.735,4244.499,2492.801,14822.06,18864.44,6737.3,14822.06,2013,4635,9317,
Caswell,23403,16.7,33.5,3.3,,31,14,222,23,38495,10.9,3,11,3908.301,7840.005,772.299,0,7254.93,3276.42,5382.69,2013,1452,2619,
Catawba,154181,14.6,8.5,8.5,22,27,9,129,25,44339,12.7,104,13,22510.426,13105.385,13105.385,33919.82,41628.87,13876.29,38545.25,2013,15269,22459,
Chatham,64195,18.9,13,13.2,20,25,9,173,24,53564,8,25,17,12132.855,8345.35,8473.74,12839,16048.75,5777.55,15406.8,2013,2208,9429,
