County,Pop,Pop_65_%,Pop_AA_%,Pop_H_%,Smoking_%,Obesity_%,Diabetes_%,HIV,uninsured_num,Med_HHI,Unemployment,PCP_num,Pop_65_num,Pop_AA_num,Pop_H_num,Smoker_num,Obesity_num,Diabetes_num,Year,Limited_healthy_food,psed
Alamance,153920,15.3,18.6,11.3,24,34,12,315,23844,41394,6978,55,23549.76,28629.12,17392.96,36940.8,52332.8,18470.4,2014,17081,21895
Alexander,36853,16.9,5.3,4.4,26,27,11,31,5287,39655,1809,19,6228.157,1953.209,1621.532,9581.78,9950.31,4053.83,2014,845,4034
Alleghany,10927,22.3,1.2,9.1,27,25,11,,2089,34046,489,109,2436.721,131.124,994.357,2950.29,2731.75,1201.97,2014,152,1098
Anson,26351,15.1,48.6,3,20,35,13,89,3234,32339,1295,45,3979.001,12806.586,790.53,5270.2,9222.85,3425.63,2014,825,2703
Ashe,27097,22,0.5,4.7,24,23,10,7,4345,34080,1421,44,5961.34,135.485,1273.559,6503.28,6232.31,2709.7,2014,679,2980
Avery,17635,18.9,4.1,4.6,25,29,11,9,2844,34727,887,28,3333.015,723.035,811.21,4408.75,5114.15,1939.85,2014,0,2525
Beaufort,47507,20.1,25.2,6.9,28,34,15,107,6480,38256,2314,50,9548.907,11971.764,3277.983,13301.96,16152.38,7126.05,2014,2430,5613
Bertie,20653,18.7,61.8,1.4,19,35,15,71,2530,30414,1028,24,3862.111,12763.554,289.142,3924.07,7228.55,3097.95,2014,1010,1994
Bladen,34915,17.2,34.6,7.1,21,36,15,85,5649,32766,1892,26,6005.38,12080.59,2478.965,7332.15,12569.4,5237.25,2014,1135,4087
Brunswick,112257,24.3,11.2,5.1,21,30,12,132,15118,48624,5413,43,27278.451,12572.784,5725.107,23573.97,33677.1,13470.84,2014,5207,14118
Buncombe,244490,17,6.3,6.2,20,24,10,449,35818,43146,9585,126,41563.3,15402.87,15158.38,48898,58677.6,24449,2014,20608,43881
Burke,90505,17.3,6.6,5.5,24,29,13,79,13860,38581,4275,58,15657.365,5973.33,4977.775,21721.2,26246.45,11765.65,2014,11106,10951
Cabarrus,184498,11.8,15.2,9.5,19,31,10,228,24968,55531,8132,89,21770.764,28043.696,17527.31,35054.62,57194.38,18449.8,2014,10316,33054
Caldwell,81930,16.6,4.9,4.7,23,30,12,50,12140,35127,4371,44,13600.38,4014.57,3850.71,18843.9,24579,9831.6,2014,13048,10347
Camden,10090,14.2,13,2.3,17,30,11,13,1158,53563,354,20,1432.78,1311.7,232.07,1715.3,3027,1109.9,2014,98,1633
Carteret,67632,20.3,6.1,3.6,21,29,11,55,9236,48930,2875,73,13729.296,4125.552,2434.752,14202.72,19613.28,7439.52,2014,4636,9640
Caswell,23217,18.1,33.7,3.2,36,33,14,46,3024,39615,1060,4,4202.277,7824.129,742.944,8358.12,7661.61,3250.38,2014,1453,2629
Catawba,154339,15.4,8.4,8.4,23,28,10,178,23015,42080,8095,66,23768.206,12964.476,12964.476,35497.97,43214.92,15433.9,2014,15270,22430
Chatham,65976,21.6,13,12.8,20,26,10,98,8558,55371,2532,45,14250.816,8576.88,8444.928,13195.2,17153.76,6597.6,2014,2209,9355
Cherokee,26992,24.9,1.2,2.5,25,28,14,14,4013,31370,1307,44,6721.008,323.904,674.8,6748,7557.76,3778.88,2014,33,3221
Chowan,14772,20.9,34.1,3.3,30,30,14,24,2015,37458,651,74,3087.348,5037.252,487.476,4431.6,4431.6,2068.08,2014,1093,1327
Clay,10618,26,0.7,2.6,21,26,11,10,1572,36871,441,47,2760.68,74.326,276.068,2229.78,2760.68,1167.98,2014,173,1046
Cleveland,97474,16.1,20.7,2.9,24,30,14,170,13155,38265,5227,51,15693.314,20177.118,2826.746,23393.76,29242.2,13646.36,2014,5453,12706
Columbus,57638,16.7,30.2,4.6,23,32,13,162,8612,33765,2981,40,9625.546,17406.676,2651.348,13256.74,18444.16,7492.94,2014,801,8002
Craven,104770,16.1,21.7,6.4,22,32,12,293,13963,47087,4215,66,16867.97,22735.09,6705.28,23049.4,33526.4,12572.4,2014,6449,15483
Cumberland,324049,10.1,35.7,10,22,34,12,1157,42084,45110,14582,76,32728.949,115685.493,32404.9,71290.78,110176.66,38885.88,2014,40879,62934
Currituck,24077,13.9,5.7,3.1,26,29,11,23,3141,54822,895,17,3346.703,1372.389,746.387,6260.02,6982.33,2648.47,2014,649,3478
Dare,34573,16.9,2.5,6.6,31,28,10,39,5229,51900,2617,76,5842.837,864.325,2281.818,10717.63,9680.44,3457.3,2014,3365,6015
Davidson,163260,15.7,8.9,6.4,26,29,11,226,23266,43824,8021,32,25631.82,14530.14,10448.64,42447.6,47345.4,17958.6,2014,10440,20891
Davie,41433,18,6.3,6.3,23,28,12,28,4839,49984,1800,39,7457.94,2610.279,2610.279,9529.59,11601.24,4971.96,2014,1115,5183
Duplin,60033,14.9,25.1,20.9,20,36,14,160,11980,36075,2473,25,8944.917,15068.283,12546.897,12006.6,21611.88,8404.62,2014,478,6589
Durham,279641,10.4,37.7,13.4,14,29,9,1438,40860,50889,11165,124,29082.664,105424.657,37471.894,39149.74,81095.89,25167.69,2014,16716,62392
Edgecombe,55954,15.7,57.3,3.8,21,37,15,298,7885,32002,3669,27,8784.778,32061.642,2126.252,11750.34,20702.98,8393.1,2014,5364,6539
Forsyth,358137,13.6,25.6,12.1,20,26,10,1266,48923,43049,16228,100,48706.632,91683.072,43334.577,71627.4,93115.62,35813.7,2014,42198,58467
Franklin,61475,14,26.3,7.8,27,33,11,105,9514,42346,2605,20,8606.5,16167.925,4795.05,16598.25,20286.75,6762.25,2014,1318,8055
Gaston,208049,14.2,15.3,6,26,27,12,489,30686,41614,10656,66,29542.958,31831.497,12482.94,54092.74,56173.23,24965.88,2014,22025,31450
Gates,11869,16.7,33.3,1.5,,33,13,11,1463,44273,357,8,1982.123,3952.377,178.035,0,3916.77,1542.97,2014,2,1380
Graham,8700,20.8,0.2,2.5,22,30,12,,1429,32883,658,23,1809.6,17.4,217.5,1914,2610,1044,2014,152,807
Granville,60436,13.8,32.4,7.6,23,30,13,193,6816,46303,2590,45,8340.168,19581.264,4593.136,13900.28,18130.8,7856.68,2014,1637,8320
Greene,21429,13.6,36.5,14.4,,32,12,70,3333,35050,920,9,2914.344,7821.585,3085.776,0,6857.28,2571.48,2014,0,2840
Guilford,500879,13,32.5,7.3,17,27,10,1883,70701,43299,25047,75,65114.27,162785.675,36564.167,85149.43,135237.33,50087.9,2014,32666,88492
Halifax,54006,17.3,52.9,2.3,21,38,16,144,7423,31253,3017,55,9343.038,28569.174,1242.138,11341.26,20522.28,8640.96,2014,5235,6117
Harnett,122135,10.7,20.6,11.2,26,33,11,191,18962,44998,5410,30,13068.445,25159.81,13679.12,31755.1,40304.55,13434.85,2014,4664,20526
