County,Pop,Pop_65_%,Pop_AA_num,Pop_H_num,Smoking_%,Obesity_%,Diabetes_%,HIV,uninsured_num,Med_HHI,Unemployment,PCP_num,Pop_65_num,Smoker_num,Obesity_num,Diabetes_num,Year,Limited_healthy_food,psed
Alamance,154378,15.3,28822,18279,24,34,12,315,23844,41394,6978,84,23619.834,37050.72,52488.52,18525.36,2015,17081,21662
Alexander,36930,16.9,2074,1593,26,27,11,31,5287,39655,1809,7,6241.17,9601.8,9971.1,4062.3,2015,845,4125
Alleghany,10939,22.3,152,1074,27,25,11,,2089,34046,489,12,2439.397,2953.53,2734.75,1203.29,2015,152,1143
Anson,26161,15.1,12626,898,20,35,13,89,3234,32339,1295,12,3950.311,5232.2,9156.35,3400.93,2015,825,2870
Ashe,27151,22,194,1369,24,23,10,7,4345,34080,1421,12,5973.22,6516.24,6244.73,2715.1,2015,679,3046
Avery,17713,18.9,741,832,25,29,11,9,2844,34727,887,5,3347.757,4428.25,5136.77,1948.43,2015,0,2626
Beaufort,47464,20.1,11744,3613,28,34,15,107,6480,38256,2314,24,9540.264,13289.92,16137.76,7119.6,2015,2430,5577
Bertie,20344,18.7,12449,345,19,35,15,71,2530,30414,1028,5,3804.328,3865.36,7120.4,3051.6,2015,1010,1728
Bladen,34843,17.2,11888,2594,21,36,15,85,5649,32766,1892,9,5992.996,7317.03,12543.48,5226.45,2015,1135,4146
Brunswick,115301,24.3,12743,5574,21,30,12,132,15118,48624,5413,47,28018.143,24213.21,34590.3,13836.12,2015,5207,14035
Buncombe,247912,17,15651,15713,20,24,10,449,35818,43146,9585,303,42145.04,49582.4,59498.88,24791.2,2015,20608,44302
Burke,89842,17.3,5905,5121,24,29,13,79,13860,38581,4275,53,15542.666,21562.08,26054.18,11679.46,2015,11106,10527
Cabarrus,187226,11.8,29599,18322,19,31,10,228,24968,55531,8132,162,22092.668,35572.94,58040.06,18722.6,2015,10316,33149
Caldwell,81990,16.6,3949,4024,23,30,12,50,12140,35127,4371,36,13610.34,18857.7,24597,9838.8,2015,13048,10292
Camden,10187,14.2,1299,254,17,30,11,13,1158,53563,354,2,1446.554,1731.79,3056.1,1120.57,2015,98,1726
Carteret,68434,20.3,4119,2756,21,29,11,55,9236,48930,2875,49,13892.102,14371.14,19845.86,7527.74,2015,4636,9956
Caswell,23190,18.1,7685,775,36,33,14,46,3024,39615,1060,1,4197.39,8348.4,7652.7,3246.6,2015,1453,2496
Catawba,154810,15.4,13138,13503,23,28,10,178,23015,42080,8095,102,23840.74,35606.3,43346.8,15481,2015,15270,22143
Chatham,66817,21.6,8471,8593,20,26,10,98,8558,55371,2532,29,14432.472,13363.4,17372.42,6681.7,2015,2209,9194
Cherokee,27218,24.9,371,769,25,28,14,14,4013,31370,1307,12,6777.282,6804.5,7621.04,3810.52,2015,33,3235
Chowan,14726,20.9,5012,470,30,30,14,24,2015,37458,651,11,3077.734,4417.8,4417.8,2061.64,2015,1093,1535
Clay,10584,26,93,328,21,26,11,10,1572,36871,441,5,2751.84,2222.64,2751.84,1164.24,2015,173,922
Cleveland,97047,16.1,19892,3035,24,30,14,170,13155,38265,5227,50,15624.567,23291.28,29114.1,13586.58,2015,5453,12996
Columbus,57246,16.7,17147,2715,23,32,13,162,8612,33765,2981,23,9560.082,13166.58,18318.72,7441.98,2015,801,7966
Craven,104489,16.1,22223,7253,22,32,12,293,13963,47087,4215,69,16822.729,22987.58,33436.48,12538.68,2015,6449,15584
Cumberland,325871,10.1,116457,34937,22,34,12,1157,42084,45110,14582,246,32912.971,71691.62,110796.14,39104.52,2015,40879,64094
Currituck,24396,13.9,1443,821,26,29,11,23,3141,54822,895,4,3391.044,6342.96,7074.84,2683.56,2015,649,3291
Dare,35019,16.9,927,2413,31,28,10,39,5229,51900,2617,26,5918.211,10855.89,9805.32,3501.9,2015,3365,6210
Davidson,163420,15.7,14735,10834,26,29,11,226,23266,43824,8021,52,25656.94,42489.2,47391.8,17976.2,2015,10440,21581
Davie,41554,18,2598,2609,23,28,12,28,4839,49984,1800,16,7479.72,9557.42,11635.12,4986.48,2015,1115,5240
Duplin,60084,14.9,14898,12745,20,36,14,160,11980,36075,2473,15,8952.516,12016.8,21630.24,8411.76,2015,478,6488
Durham,288133,10.4,107990,38849,14,29,9,1438,40860,50889,11165,338,29965.832,40338.62,83558.57,25931.97,2015,16716,64783
Edgecombe,55574,15.7,31802,2236,21,37,15,298,7885,32002,3669,15,8725.118,11670.54,20562.38,8336.1,2015,5364,6398
Forsyth,361220,13.6,92274,44934,20,26,10,1266,48923,43049,16228,356,49125.92,72244,93917.2,36122,2015,42198,58985
Franklin,62260,14,16289,4925,27,33,11,105,9514,42346,2605,12,8716.4,16810.2,20545.8,6848.6,2015,1318,8591
Gaston,209420,14.2,32261,13051,26,27,12,489,30686,41614,10656,136,29737.64,54449.2,56543.4,25130.4,2015,22025,32269
Gates,11650,16.7,3833,212,,33,13,11,1463,44273,357,1,1945.55,0,3844.5,1514.5,2015,2,1339
Graham,8736,20.8,32,240,22,30,12,,1429,32883,658,2,1817.088,1921.92,2620.8,1048.32,2015,152,834
Granville,58275,13.8,18297,4381,23,30,13,193,6816,46303,2590,27,8041.95,13403.25,17482.5,7575.75,2015,1637,8112
Greene,21232,13.6,7585,3134,,32,12,70,3333,35050,920,2,2887.552,0,6794.24,2547.84,2015,0,2881
Guilford,506610,13,166781,37841,17,27,10,1883,70701,43299,25047,369,65859.3,86123.7,136784.7,50661,2015,32666,89811
Halifax,53453,17.3,28103,1425,21,38,16,144,7423,31253,3017,30,9247.369,11225.13,20312.14,8552.48,2015,5235,5983
Harnett,124987,10.7,25898,14674,26,33,11,191,18962,44998,5410,36,13373.609,32496.62,41245.71,13748.57,2015,4664,21555
Haywood,59183,22.3,709,2129,26,26,10,49,7680,40022,2489,43,13197.809,15387.58,15387.58,5918.3,2015,4070,7148
Henderson,109540,23.4,3443,10743,17,22,10,80,15357,45168,3727,83,25632.36,18621.8,24098.8,10954,2015,5589,14800
Hertford,24431,16.7,14452,906,27,34,14,128,2953,31861,1029,14,4079.977,6596.37,8306.54,3420.34,2015,1557,2935
Hoke,51322,7.7,16855,6244,20,33,11,138,9011,44717,2139,3,3951.794,10264.4,16936.26,5645.42,2015,4455,9707
Hyde,5721,16.2,1698,460,,32,12,17,849,35301,306,1,926.802,0,1830.72,686.52,2015,1494,704
Iredell,164517,13.7,19361,11807,20,28,9,126,21737,49666,8075,108,22538.829,32903.4,46064.76,14806.53,2015,8663,26103
Jackson,40919,16.7,854,2104,22,33,13,29,7300,37049,1981,39,6833.473,9002.18,13503.27,5319.47,2015,3294,5425
Johnston,177967,11.3,26970,23470,25,33,12,304,24807,48773,6912,54,20110.271,44491.75,58729.11,21356.04,2015,2801,28694
Jones,10215,20.1,3189,427,44,34,15,27,1535,35159,467,6,2053.215,4494.6,3473.1,1532.25,2015,0,1271
Lee,60266,14.1,11520,11990,20,29,11,143,9637,43424,3189,32,8497.506,12053.2,17477.14,6629.26,2015,5448,8019
Lenoir,58914,16.9,23753,4160,16,34,15,239,8747,35634,2904,27,9956.466,9426.24,20030.76,8837.1,2015,2882,6938
Lincoln,79740,14.5,4430,5620,17,28,10,45,11624,47799,3967,36,11562.3,13555.8,22327.2,7974,2015,3985,11699
McDowell,44961,17.4,1713,2492,23,34,13,35,5666,36584,2333,17,7823.214,10341.03,15286.74,5844.93,2015,1478,5767
Macon,33857,25.2,500,2273,21,25,11,28,5537,36438,1706,27,8531.964,7109.97,8464.25,3724.27,2015,810,3501
Madison,21022,18.9,322,524,22,30,11,14,2775,37644,930,11,3973.158,4624.84,6306.6,2312.42,2015,739,2574
Martin,23699,19.3,10142,821,12,34,15,68,3217,33159,1293,9,4573.907,2843.88,8057.66,3554.85,2015,251,2805
Mecklenburg,990977,9.4,305824,124799,14,26,8,4470,136608,55392,46928,817,93151.838,138736.78,257654.02,79278.16,2015,60416,220615
Mitchell,15328,22.3,74,720,26,29,12,16,2154,36210,839,14,3418.144,3985.28,4445.12,1839.36,2015,398,1885
Montgomery,27571,17.3,5070,4128,,31,13,42,4637,35272,1282,8,4769.783,0,8547.01,3584.23,2015,85,3240
Moore,91587,23.4,11926,5744,15,29,11,131,11177,49670,3382,82,21431.358,13738.05,26560.23,10074.57,2015,5313,13504
Nash,95093,15,36556,6268,22,33,12,258,12675,40937,5530,58,14263.95,20920.46,31380.69,11411.16,2015,3873,13089
New Hanover,213267,14.8,30205,11658,18,26,11,585,29665,50890,9886,182,31563.516,38388.06,55449.42,23459.37,2015,15976,42016
Northampton,20839,21.6,12071,415,22,31,14,72,2673,31217,976,2,4501.224,4584.58,6460.09,2917.46,2015,594,1803
Onslow,185220,7.9,27228,21867,25,28,9,222,20096,44263,5979,59,14632.38,46305,51861.6,16669.8,2015,19475,33233
Orange,140352,10.3,16454,11700,12,21,7,284,16085,53026,4603,269,14456.256,16842.24,29473.92,9824.64,2015,15204,26863
Pamlico,12953,23.8,2587,447,,30,13,24,1567,41004,528,5,3082.814,0,3885.9,1683.89,2015,307,1431
Pasquotank,39981,14.4,14868,1756,35,33,12,96,5026,43935,1845,22,5757.264,13993.35,13193.73,4797.72,2015,3707,6341
Pender,55334,16.2,9381,3482,28,29,12,60,7845,43318,2635,17,8964.108,15493.52,16046.86,6640.08,2015,1746,8147
Perquimans,13601,23,3310,309,21,32,14,31,1644,42494,531,3,3128.23,2856.21,4352.32,1904.14,2015,72,1540
Person,39276,16.2,10553,1664,27,33,14,67,5082,42546,1952,13,6362.712,10604.52,12961.08,5498.64,2015,1018,5293
Pitt,174263,10.5,59217,10081,19,36,9,480,22633,39343,8319,169,18297.615,33109.97,62734.68,15683.67,2015,5320,31050
Polk,20411,26.1,889,1135,19,23,10,19,2688,41719,719,11,5327.271,3878.09,4694.53,2041.1,2015,32,2074
Randolph,142577,15.2,8394,15564,23,29,10,144,23009,41815,7090,68,21671.704,32792.71,41347.33,14257.7,2015,10145,17683
Richmond,46405,15.1,14133,2916,26,31,13,120,7635,30726,2514,20,7007.155,12065.3,14385.55,6032.65,2015,2327,5474
Robeson,134841,12,32560,10836,26,41,16,384,28182,29965,7268,60,16180.92,35058.66,55284.81,21574.56,2015,8116,15356
Rockingham,91878,17.4,17129,5388,28,32,12,125,12548,37577,4965,39,15986.772,25725.84,29400.96,11025.36,2015,10750,11398
Rowan,138323,15.5,22055,11124,25,33,13,326,19900,40400,7117,60,21440.065,34580.75,45646.59,17981.99,2015,12245,18094
Rutherford,66956,18.4,6560,2620,27,30,12,46,9687,34193,3688,37,12319.904,18078.12,20086.8,8034.72,2015,6553,8887
Sampson,64150,15.1,16708,11528,17,37,13,138,11140,37420,2792,32,9686.65,10905.5,23735.5,8339.5,2015,1418,7171
Scotland,36025,14.8,13955,983,25,36,14,120,5300,31704,2235,27,5331.7,9006.25,12969,5043.5,2015,2744,3787
Stanly,60635,16.5,6685,2359,25,27,12,70,8045,42816,2961,26,10004.775,15158.75,16371.45,7276.2,2015,1527,8157
Stokes,46588,17.7,1876,1297,36,26,10,33,6052,42272,2154,8,8246.076,16771.68,12112.88,4658.8,2015,2692,5817
Surry,73050,17.7,2656,7226,28,31,13,53,11445,36934,3349,53,12929.85,20454,22645.5,9496.5,2015,2486,9049
Swain,14058,17.7,149,621,30,34,15,12,2362,36280,946,15,2488.266,4217.4,4779.72,2108.7,2015,384,2110
Transylvania,32903,27.5,1306,1012,23,24,10,27,4485,40642,1228,23,9048.325,7567.69,7896.72,3290.3,2015,1035,3733
Tyrrell,4109,17.5,1478,279,,31,13,8,660,30728,235,,719.075,0,1273.79,534.17,2015,258,412
Union,212756,10.5,24649,23146,16,27,9,175,26570,61260,8342,117,22339.38,34040.96,57444.12,19148.04,2015,7090,36446
Vance,44808,15.2,22321,3127,28,33,14,162,6556,34371,2590,23,6810.816,12546.24,14786.64,6273.12,2015,2127,4666
Wake,974289,9.2,200088,96955,13,25,7,2670,108244,64107,37004,748,89634.588,126657.57,243572.25,68200.23,2015,38115,224259
Warren,20575,20.3,10483,828,23,35,16,41,2975,33068,983,3,4176.725,4732.25,7201.25,3292,2015,937,2076
Washington,12722,20,6173,542,,33,14,46,1493,32545,771,5,2544.4,0,4198.26,1781.08,2015,1289,1225
Watauga,52372,13.3,906,1826,16,28,9,29,7354,38563,2035,42,6965.476,8379.52,14664.16,4713.48,2015,1705,7426
Wayne,124583,13.7,38854,13314,24,34,12,391,18704,38776,4925,64,17067.871,29899.92,42358.22,14949.96,2015,10074,18511
Wilkes,69023,18.7,2890,3938,28,29,13,44,10595,35362,3284,30,12907.301,19326.44,20016.67,8972.99,2015,3844,7966
Wilson,81667,15.4,31657,8156,12,35,14,308,12161,37440,5154,33,12576.718,9800.04,28583.45,11433.38,2015,2295,10349
Yadkin,38038,17.2,1196,3982,26,30,10,25,5836,40012,1699,11,6542.536,9889.88,11411.4,3803.8,2015,161,4506
Yancey,17566,21.9,166,832,21,29,11,10,2812,36019,885,13,3846.954,3688.86,5094.14,1932.26,2015,0,2077
